x,y,z
-46.2940976133606,-71.061260189898,2.81959560337768
-46.293464127689,-70.4362237306839,2.8004148920467
-46.2943003952633,-69.8112710366431,2.81304918203364
-46.294401948351,-69.1852770186883,2.81373013779367
-46.2959646008461,-68.5573677593065,2.83424964077283
-46.2960653432523,-67.9363709479885,2.82491993084369
-46.2954366034314,-67.3143367587377,2.79057940670845
-46.2987221649637,-66.6884677075182,2.82308124687207
-46.2978386381724,-66.0654725685035,2.82584632299351
-46.3001399305073,-65.4376051895872,2.85852816892283
-46.3009729317448,-64.809650353713,2.86904848537713
-46.2988732660715,-64.1855295685897,2.83941724108029
-46.3011763621928,-63.5556634351486,2.86041820878366
-46.3012785644453,-62.9256678319174,2.85129418952086
-46.3021079771578,-62.3107132451029,2.85211023191258
-46.3029437658371,-61.6887626949643,3.21556074664777
-46.3015796548507,-61.0696849471557,3.1797033906144
-46.3038812720779,-60.4398148656179,3.19423068104556
-46.3047136047929,-59.8068607849935,3.18839292361071
-46.3062854158302,-59.1779502981941,3.1928315836269
-46.3044362875016,-58.5577887889379,3.15239777876841
-46.3006227109148,-57.9316260096034,3.10804859413709
-46.2992589224832,-57.3105493790988,3.16337135092103
-46.2978902179311,-56.6874699200051,3.1338490099167
-46.2994620289684,-56.0585594332057,3.16028201095216
-46.3010279501379,-55.4336484957317,3.18102444530339
-46.3011295032255,-54.8076544777769,3.18155344257329
-46.3026973889097,-54.1797434344259,3.19341870472192
-46.3049981948357,-53.5548743794918,3.21460925233877
-46.3050990990683,-52.9328800368299,3.20541650263866
-46.3083841741918,-52.3100093095925,3.25865048039842
-46.3082268522,-51.6850570466165,3.31320595444776
-46.3105279806807,-51.0581891089863,3.35082794193943
-45.6880598816488,20.1798907156318,3.03916892737959
-45.6896779706419,19.5548548113812,3.04642810647185
-45.6895764175542,18.9288607934264,3.04382223386635
-45.6884865176309,18.302866218398,3.0435158132715
-45.690104606624,17.6778303141474,3.06271970951329
-45.6890186222025,17.052835182562,3.05259921560083
-45.688182506913,16.428881929843,3.04209621301208
-45.6880809538253,15.8028879118882,3.04161746567002
-45.6857837489799,15.1770194177478,2.90490934305118
-45.6837360808604,14.5501939197723,2.87260473869483
-45.679970916704,13.9264079453246,2.81410006011497
-45.6849719722039,10.1730612194518,2.89206997185346
-45.6880560403119,9.55694428796351,2.91636826841768
-45.6869667889339,8.93494747824464,2.91251622898769
-45.6897988864124,8.30478447078027,2.94577084707245
-45.6921464570129,7.67870736862995,2.96232603986981
-45.6927796166941,7.05167202680234,2.97155866769762
-45.6934041161209,6.42663569148699,2.9811194450341
-45.6933025630332,5.80064167353216,2.9806005633992
-45.6922165786117,5.17564654194671,2.9716382835115
-45.6938346676048,4.55061063769611,2.98102356822427
-45.6937332766534,3.92561606106865,2.97919835140897
-45.6926472922319,3.3006209294832,2.9714725644617
-45.6942653795071,2.67558502527389,2.97821903670574
-45.6941639885558,2.05059044864643,2.97167443986129
-45.6930778416881,1.42459396575018,2.97158706768382
-45.6929764507367,0.799599389122722,2.96676384023757
-45.6945892969991,0.174563610880913,2.97153276708361
-45.6935033125776,-0.450431520704534,2.97121774949046
-45.6951214015707,-1.07546742495514,2.98041300358331
-45.6950200106193,-1.70046200158259,2.97995121877536
-45.6939340261978,-2.32545713316804,2.97262505420407
-45.6938327976926,-2.9494503584847,2.97065851035382
-45.6947160002113,-3.57444438015416,2.95244087923392
-45.6921654855718,-4.19935587258613,2.93645852553335
-45.6915787544135,-4.82526748044542,2.91759683831329
-45.6868332388989,-5.44605186382789,2.85977334662877
-45.6869812303608,-6.0730047955544,2.8480420418239
-45.6832204701428,-6.69279109263493,2.78983574397415
-45.6814007365385,-7.31074443242204,2.77989177425139
-45.6812990213145,-7.93773789170425,2.77709563220643
-45.6819325151197,-8.56277435087156,2.77103292237206
-45.6853897513386,-9.81397210838047,2.80619911665593
-45.6906675338709,-10.4422174095232,2.84407962210612
-45.6927653954479,-11.0683388591548,2.85657356777145
-45.6948680133467,-11.6974587587773,2.86467802664557
-45.6945077473158,-12.3234950903836,2.84450785472912
-45.6961258345911,-12.9485309945929,2.81328857453392
-45.6960244436397,-13.5735255712204,2.81070187811836
-45.6966579391626,-14.198562030429,2.8152420910901
-45.6965565482112,-14.8235566070564,2.82023333554196
-45.6964551572599,-15.4485511836839,2.8134525035144
-45.6963539285989,-16.0725453689922,2.81881708484647
-45.6962525376475,-16.6975399456197,2.82854247824914
-45.6961511466961,-17.3225345222471,2.83739263667894
-45.6960497557447,-17.9475290988746,2.84024392748622
-45.6966781706733,-18.571565990747,2.85914162406316
-45.6965767311435,-19.196860014776,2.8690275737629
-45.6964753887706,-19.8215551440019,2.87958725790924
-45.6971088663321,-20.4466917323004,2.89297363229709
-45.6970076051822,-21.0708861858709,2.90394682512505
-45.6959216370059,-21.6957811783253,2.91438990172112
-45.6975397746553,-22.3205171551785,2.93886646794841
-45.6974384161928,-22.9453114635438,2.95586782391387
-45.6973370252414,-23.5703060401712,2.96754311050302
-45.6972357153574,-24.1948009011349,2.97850946459429
-45.6954148607068,-24.8196540110082,2.98219417172355
-45.6955630973627,-25.4451061057995,2.98307937428169
-45.6939972735059,-26.0694171884787,2.97665362108444
-45.6892462392177,-26.6919030310869,2.9405289903578
-45.6884149449764,-27.318455747259,2.94449983318691
-45.6907636023986,-27.9378334575431,2.97229710620118
-45.6921323622793,-28.5605718595963,3.01607803259321
-45.6942260715206,-29.1890919205351,3.05358004360057
-45.6948545352044,-29.8128282750154,3.08881491032153
-45.694023331798,-30.4388210660462,3.09574004876765
-45.6946512438989,-31.0659574910225,3.11930036279818
-45.6960195755221,-31.6913357601684,3.16240991635733
-45.6959181521207,-32.3165303650601,3.18647157798602
-45.6958168422756,-32.9410249860259,3.20511313849278
-45.6957155486758,-33.5654194678607,3.22592792663814
-45.6956141739696,-34.1903139053571,3.23163757590877
-45.6955128479182,-34.814908425456,3.24923630532825
-45.696141051978,-35.4402451560491,3.27976640805521
-45.6960396610266,-36.0652397326766,3.29911078665126
-45.6959383349751,-36.6898342527755,3.31313381051412
-45.6958369441016,-37.3148283494071,3.33690198696159
-45.6957355531502,-37.9398229260346,3.36023040393292
-45.6956342757567,-38.5641175087362,3.37379964256032
-45.6955328198259,-39.1895126318879,3.39577621695957
-45.6954315911665,-39.8135068071964,3.41475286520373
-45.6936159630013,-40.4384601822095,3.42362586931457
-45.6952288092637,-41.0634959604513,3.45438887986571
-45.6951275804486,-41.6874910957513,3.47986394484828
-45.6950261894973,-42.3124856723788,3.50130957322687
-45.6949247985459,-42.9374802490063,3.50081212867669
-45.6931091703807,-43.5624336240194,3.48991782732135
-45.6939923728994,-44.1874276456888,3.49124584808395
-45.6938911442384,-44.8114218309972,3.49410841223197
