time,Frame,A1: Press.(PSIG),A2: Press.(PSIG),A3: Press.(PSIG),A4: Press.(PSIG),A5: Press.(PSIG),B1: Press.(PSIG),B2: Press.(PSIG),B3: Press.(PSIG),B4: Press.(PSIG),B5: Press.(PSIG),C1: Press.(PSIG),C2: Press.(PSIG),C3: Press.(PSIG),C4: Press.(PSIG),C5: Press.(PSIG),D1: Press.(PSIG),D2: Press.(PSIG),D3: Press.(PSIG),D4: Press.(PSIG),D5: Press.(PSIG),E1: Press.(PSIG),E2: Press.(PSIG),E3: Press.(PSIG),E4: Press.(PSIG),E5: Press.(PSIG),Chamber Press(Torr),High Acc. Transducer (PSIG),RF-Tank(V),A1: Temp.(C),A2: Temp.(C),A3: Temp.(C),A4: Temp.(C),A5: Temp.(C),B1: Temp.(C),B2: Temp.(C),B3: Temp.(C),B4: Temp.(C),B5: Temp.(C),C1: Temp.(C),C2: Temp.(C),C3: Temp.(C),C4: Temp.(C),C5: Temp.(C),D1: Temp.(C),D2: Temp.(C),D3: Temp.(C),D4: Temp.(C),D5: Temp.(C),E1: Temp.(C),E2: Temp.(C),E3: Temp.(C),E4: Temp.(C),E5: Temp.(C),Thermocouple1,Thermocouple2,Thermocouple3,Thermocouple4,Thermocouple5,Temp Setpoint,Press Setpoint
1755561389267,0,-2.1914464721679687,14.320087890624999,2.971532958984375,7.4270439453125,8.997989715576171,10.076367462158204,6.697,5.268510986328125,4.477575500488281,4.427510986328125,3.84002197265625,3.615,5.580913513183593,4.257565216064453,3.076575500488281,13.035055633544921,-2.4439574584960937,19.24089385986328,10.03732632446289,14.31497802734375,4.152424499511719,7.850402526855469,6.8895212707519535,12.052500701904297,4.785162689208985,0.10964361267089844,-0.10864504394531248,46.95130279541016,770.2098175048828,777.9196350097656,764.7196350097656,741.3098175048827,707.6331024169922,716.0374450683594,753.7803649902344,756.0,731.307992553711,634.5981750488281,757.7178100585937,785.0687225341796,752.2981750488282,697.1214599609375,649.8963500976563,745.3901824951172,802.6178100585937,789.4589050292968,758.5098175048828,716.1098175048828,774.9312774658204,786.9705474853515,774.7079925537109,750.91416015625,723.6098175048828,27.039018249511717,69.34374450683593,27.497237243652346,27.481164245605466,551.0,961.7,0.0
1755561389466,1,1.3540764868164061,12.065105701904297,2.7622419873046873,6.155923513183594,7.133627257080079,14.96257578125,6.592550770263672,5.381432541503906,7.309271202392578,4.148910986328125,3.517716270751953,3.823805284423828,2.819087066894531,5.198716270751953,5.6993727429199215,9.237923513183594,1.6151529736328125,20.74728797607422,7.987771907958984,14.585198876953125,1.6862545141601564,5.210474283447265,8.501372742919921,9.909538243408203,7.765728797607421,0.11311679516601562,-2.6149670080566403,47.760183984375,770.3093175048828,778.053412475586,764.946587524414,741.3161424560546,706.155905029297,717.1416024169921,753.6186350097656,756.0093175048828,732.1602374267578,635.5652225341797,758.8838575439453,785.6627299804688,753.1813649902344,696.3627299804688,651.6254599609375,745.2720474853515,803.550919921875,789.9906824951172,758.5813649902344,716.2372700195313,774.4304450683593,786.6720474853516,775.504332397461,753.7161424560546,723.7,27.03,69.47,27.38,27.4,551.0,961.7,0.0
1755561389665,2,4.043222257080078,9.754310986328125,8.221533243408205,3.7385332434082033,8.633310986328125,11.023445068359376,5.403088729248046,8.913310986328126,7.3979340673828125,4.067911270751953,5.1477777429199225,6.1277555004882815,0.7551069331054688,6.754622526855469,3.977399715576172,6.74637802734375,6.598155770263672,15.240286767578125,15.520594982910156,12.225932958984377,4.660932958984375,2.0730659326171876,6.754622526855469,11.031777742919921,7.281689013671874,0.1159266573486328,5.469304482055664,47.36595344238281,770.3911824951172,777.6529050292969,765.3470949707031,740.4118249511719,706.6823649902344,715.6529050292969,753.8176350097656,756.0470949707031,730.8176350097656,636.014832397461,759.655912475586,785.2911824951171,752.9118249511719,696.0088175048828,650.8559124755859,744.9559124755859,802.1617225341797,789.8735474853515,758.3911824951172,716.555912475586,775.6470949707032,786.4793575439453,773.741080078125,752.7236499023437,723.6735474853516,27.03,69.47,27.38,27.4,551.0,961.7,0.0
1755561389867,3,4.778327728271484,9.71901028442383,9.058881256103517,4.878456756591797,8.735553527832032,12.025011688232423,3.9175755004882813,8.382913513183594,3.356575500488281,5.5259354858398435,3.615,8.525370269775392,3.246619445800781,4.785162689208985,1.823935952758789,7.889541839599609,4.915870971679687,11.697181396484375,19.26425994873047,11.377532958984375,4.1975755004882815,6.279456756591797,4.86762973022461,9.828966339111329,7.537,0.11341416015625,-0.23826477355957032,46.31454376220703,770.142919921875,778.2883575439454,764.642919921875,739.6374450683594,706.3920074462891,716.1410949707032,753.9705474853515,755.5196350097656,731.0490875244141,634.1785400390626,759.0821899414063,785.1901824951173,752.1276275634766,696.0705474853515,650.4687225341796,744.5098175048828,802.7607299804687,789.6,758.3294525146484,716.1392700195313,775.0901824951172,787.2901824951172,775.1901824951173,751.0668975830077,723.3705474853515,27.03,69.48276275634765,27.379018249511716,27.399018249511716,551.0,961.7,0.0
1755561390066,4,-1.609236457519531,11.400656472167968,4.963728797607422,3.9021655004882816,11.706745485839843,9.629538243408204,6.984165500488281,5.960449229736328,6.2404492297363285,2.9377927575683596,3.353914195678711,4.917809445800781,4.781012526855469,7.47856329711914,1.047896790649414,13.3869318359375,-0.6520292150878906,18.4982197265625,13.986979150390624,10.67217802734375,6.820372742919922,4.676563297119141,8.684089013671874,12.833910986328124,7.093207242431641,0.11686836779785156,2.727040473632812,46.62013054199219,768.8211275634766,778.9695549316407,763.2186350097656,740.7881899414062,705.5211275634765,715.6,753.5881899414063,755.7372700195313,731.3788724365235,634.9372700195312,758.1024925537109,785.1186350097656,753.3559050292969,695.8279525146484,651.0347774658203,744.6372700195312,802.5304450683593,789.7118100585938,758.6093175048828,716.4627299804688,774.9813649902344,787.1627299804688,775.1186350097656,752.655905029297,723.2490800781251,27.03,69.6,27.37,27.39,551.0,961.7,0.0
1755561390267,5,7.124468444824219,8.290619445800782,4.86762973022461,6.339348297119141,8.740565216064454,11.06493408203125,9.283805053710937,7.087054229736329,7.394543243408203,6.926935485839843,1.0054310882568358,6.834543243408203,2.273950445556641,4.395108459472656,3.307412811279297,10.03732632446289,4.395108459472656,13.557445068359375,16.72502197265625,11.207489013671875,5.213434783935547,1.6480864868164062,8.828043945312501,12.442554931640625,3.2966839599609377,0.12189930725097656,-0.936546356201172,47.300843200683595,770.1079925537109,777.6410949707032,763.4392700195312,739.7687225341797,706.6018249511719,715.6981750488281,752.6276275634766,756.1490875244141,730.3963500976563,635.2214599609374,759.0901824951172,785.3785400390625,753.7331024169922,696.1294525146485,650.4392700195312,745.157080078125,803.692007446289,790.7214599609374,758.7196350097656,716.0116424560547,774.7214599609374,786.8196350097655,775.2509124755859,753.2785400390626,724.7196350097656,27.03,69.6,27.37,27.39,551.0,961.7,0.0
1755561390466,6,3.0477972294921876,10.52960224609375,8.266385269775391,3.106271202392578,9.472817811279297,12.501732958984375,4.421745485839844,8.228538243408204,8.162029215087891,3.790550770263672,3.2961529736328123,7.367004471923829,0.6180698115234374,6.260279567871094,2.975732958984375,7.152550770263671,6.0775632971191405,15.08089013671875,15.698219726562499,11.87742421875,4.193923513183594,4.462165500488281,7.295847026367187,11.414801123046875,7.889101540527345,0.11623780444335938,3.62303328527832,46.45335903320313,771.0347774658203,777.202492553711,763.8,740.3627299804688,705.6720474853516,716.646587524414,753.8372700195312,756.5161424560547,732.0695549316407,634.4813649902344,758.9906824951172,785.9975074462891,752.2279525146485,696.4745400390625,650.8372700195312,746.6279525146484,802.6627299804688,790.0,758.9,715.2186350097656,774.1304450683593,786.9813649902344,774.9583975830078,753.8881899414063,724.7788724365234,27.03,69.60559050292969,27.378385754394532,27.392795251464843,551.0,961.7,0.0
1755561390621,7,0.6589372294921877,14.43560224609375,5.009060269775391,3.5410462023925784,9.255042811279298,11.850732958984375,1.8161954858398437,9.314313243408204,4.036704215087891,2.9217757702636717,7.6392529736328125,1.286819471923828,3.657929811523437,4.956729567871094,2.324732958984375,6.283775770263672,3.254238297119141,17.250890136718752,11.3582197265625,15.34942421875,2.022373513183594,6.850715500488281,2.9527470263671876,13.367801123046874,6.151551540527343,0.10740280444335937,0.25465078527832036,46.98035903320312,770.4922774658203,778.054992553711,763.8,740.0527299804687,705.4395474853516,717.0340875244141,754.1472700195313,755.8186424560547,730.9845549316406,634.3263649902343,758.9131824951172,785.145007446289,752.4604525146484,697.0945400390625,651.1472700195313,746.8604525146484,802.3527299804687,790.0,758.9,715.3736350097656,775.2154450683594,786.8263649902343,776.2758975830078,752.9581899414062,723.7713724365235,27.03,69.65209050292968,27.44813575439453,27.416045251464844,551.0,961.7,0.0
1755561390766,8,5.947025053710937,9.590411691894532,5.6993727429199215,5.34817802734375,8.15017802734375,11.329554931640626,5.777732958984375,10.859579985351564,4.742165500488281,6.742012526855469,2.6317037438964843,3.080182188720703,1.3279874731445311,5.288834499511719,3.256639783935547,9.172987473144532,7.184232296142579,13.389691174316406,17.240609157714843,11.74,5.322089013671875,5.217639783935547,2.5011655004882813,13.849554931640625,6.338639783935546,0.12367008935546875,5.799008536376953,46.65534124755859,770.353412475586,778.153412475586,763.8372700195312,740.0186350097656,705.5211275634765,716.9695549316407,754.2,755.7279525146485,730.7813649902344,634.3652225341797,758.9,785.0279525146484,752.5372700195312,697.1906824951172,651.0881899414063,746.7695549316406,802.3559050292969,789.9627299804688,758.844094970703,715.4745400390625,775.297507446289,786.7720474853515,776.3416024169921,752.7627299804687,723.5254599609375,27.03,69.66,27.46,27.42,551.0,961.7,0.0
1755561390966,9,1.8951529736328125,15.183232253417968,4.279449229736328,6.038809445800781,8.788631418457031,9.981546608886719,5.198716270751953,5.172627257080078,7.197656472167969,4.951063959960938,6.096542715332031,3.7265215551757813,3.797716270751953,2.520089013671875,2.7289874731445316,10.911758012695314,-1.2390250537109375,20.564664880371094,8.776500705566407,11.661732958984375,5.9153435278320305,4.141745485839844,5.34817802734375,12.814801123046875,5.262745485839844,0.11240813037109375,-2.1309783080444338,46.7143560546875,769.946587524414,777.746587524414,764.1813649902344,740.1720474853516,706.6347774658203,715.7279525146485,754.0695549316407,755.8695549316407,730.6838575439454,634.8881899414063,758.8068249511718,785.2627299804687,752.9279525146484,697.0347774658203,650.0279525146484,745.5652225341797,802.9279525146484,789.5068249511719,758.2254599609374,716.1720474853516,774.4118100585937,786.5186350097656,774.7347774658202,752.4559050292969,722.8559050292969,27.03,69.65813649902343,27.462795251464843,27.430249255371095,551.0,961.7,0.0
1755561391166,10,6.809918502441406,7.9641730166015625,5.212440616210937,7.755311827148437,9.945096529785157,9.499835887695312,6.883005010742187,6.759650902832031,3.9680865083007815,9.601482896972657,0.2526,7.390826983398437,5.523784702636719,2.6800273727539063,5.245732400390625,5.523784702636719,3.34543560546875,13.908712109375,15.18172349609375,10.9208712109375,8.894302426367187,1.2600814975585937,5.720262588867187,15.13130681640625,2.2870865083007814,0.11916210092773438,-0.19054227639160157,47.70950148925781,770.4074540039062,778.2074540039063,764.0111810058594,739.8850919921874,705.9813649902344,716.0409970214844,752.8596320312499,754.6745400390625,731.5,633.8298160156249,757.9260890136718,784.8478219726562,753.1850919921875,696.3888189941406,650.3223620117187,746.1850919921875,803.2074540039063,788.5962729980469,757.5074540039062,715.8590029785156,775.4850919921874,786.7335430175782,774.1186350097656,752.9962729980468,723.4335430175781,27.03,69.64,27.49,27.53,551.0,961.7,0.0
1755561391666,11,2.9900639599609375,11.8443560546875,3.080182188720703,6.292720432128906,6.794283729248047,16.51910986328125,4.5072712023925785,8.273550770263672,5.882089013671875,4.989817811279297,0.7225190412597656,3.5366397839355472,3.9400125268554684,0.3309043110351562,10.73620724243164,4.357716270751953,3.9021655004882816,19.1956439453125,10.007728797607422,11.92960224609375,0.45447705395507815,5.549910986328125,2.396716270751953,15.600842822265625,4.22717802734375,0.11495709216308593,-4.321051646728516,47.146456982421874,770.655905029297,778.4372700195312,764.2627299804687,739.5559050292969,705.5,717.0440949707031,754.3161424560546,756.4788724365235,731.453412475586,634.6186350097656,758.6186350097656,783.6770325927735,752.846587524414,696.0906824951172,651.0583975830078,745.744094970703,803.3161424560546,788.5652225341797,757.7,714.9583975830078,775.1279525146484,787.5813649902344,774.5906824951172,752.7788724365234,724.3931750488281,27.03,69.64093175048828,27.485341247558594,27.53,551.0,961.7,0.0
1755561391866,12,7.374114067382812,12.833910986328124,3.569894298095703,7.452474283447265,5.06817802734375,14.0843560546875,4.650474283447266,7.413627257080078,5.875016688232422,4.656732958984375,5.34817802734375,2.643461756591797,2.1490639599609374,1.14517802734375,6.155923513183594,5.927194715576172,6.488101540527344,18.049554931640625,9.838250352783204,16.473910986328125,-0.3078,5.504805284423829,3.8617361683349607,12.6130681640625,4.813360216064454,0.10843910986328126,-3.49896726184082,46.822795251464846,771.050919921875,778.6881899414062,763.9,740.0627299804688,705.6211275634765,716.5093175048828,753.5279525146484,755.3372700195312,730.9720474853516,634.650919921875,758.744094970703,785.3813649902344,753.1881899414062,696.0372700195312,652.4229674072266,745.2279525146485,802.5838575439453,789.1440949707031,757.8118100585938,716.3881899414063,775.3906824951172,787.4186350097656,774.5838575439453,751.5254599609375,725.2068249511718,27.03,69.65,27.44,27.53,551.0,961.7,0.0
1755561392067,13,2.8339798980712887,12.029925201416015,5.938565216064453,3.84002197265625,6.071194946289062,14.962554931640625,1.3131084594726563,9.240575500488282,3.362489013671875,4.060032257080078,5.690967742919922,1.7030645141601564,6.646935485839844,2.065629730224609,3.6699780273437503,4.280140716552735,4.730086486816406,16.147752685546877,13.607313232421875,15.670219726562499,0.07732108154296873,7.3444787292480465,1.142974331665039,15.522554931640625,5.438456756591797,0.1070879180908203,-0.4089911834716797,46.93541229248047,769.6,777.5705474853515,763.8410949707031,739.7392700195313,706.7214599609374,716.5312774658204,753.7705474853515,755.7098175048828,730.7490875244141,633.2883575439454,758.2883575439454,785.3178100585938,752.3061676025391,696.3901824951172,650.7098175048828,745.3821899414063,803.3509124755859,788.6883575439454,758.949087524414,715.3785400390625,775.2705474853515,787.5214599609375,775.3705474853515,750.8785400390625,724.2705474853515,27.03,69.65,27.44,27.53,551.0,961.7,0.0
