5.761548630286907446e+00,2.840638326981519829e-02,2.802510207678139686e-02,8.900000000000000000e+01
6.881129802835398657e+00,3.445510524595102320e-02,3.474377961417618454e-02,9.100000000000000000e+01
7.960447955953664056e+00,3.941058438454972390e-02,3.979583162037242383e-02,9.300000000000000000e+01
8.961751751077585482e+00,4.602680335222568420e-02,4.671043177662551060e-02,9.500000000000000000e+01
9.928382265288254516e+00,5.431993244060098758e-02,5.572055727271851139e-02,9.700000000000000000e+01
1.086673036772629253e+01,6.706747172113215749e-02,6.916907693965278214e-02,9.900000000000000000e+01
1.214407243399784520e+01,1.048322709789999557e-01,1.093836674168920386e-01,1.020000000000000000e+02
1.296556225585937483e+01,1.609303782981637010e-01,1.661579856532479638e-01,1.040000000000000000e+02
1.401495139075969654e+01,2.498643436816591068e-01,2.560593284249480517e-01,1.080000000000000000e+02
1.489608103785021420e+01,3.241967757598602784e-01,3.310012769201112759e-01,1.150000000000000000e+02
1.495622224373653175e+01,3.400649045704073337e-01,3.462403146040982094e-01,1.240000000000000000e+02
1.611476106209590498e+01,4.167615086945254954e-01,4.235679922804723163e-01,1.310000000000000000e+02
1.725684640187230556e+01,4.782912266083466091e-01,4.841643403488030128e-01,1.330000000000000000e+02
1.818963674400593078e+01,5.373533553531374407e-01,5.446002277636883271e-01,1.350000000000000000e+02
1.886211397999730366e+01,5.836274140626541707e-01,5.893104686927057578e-01,1.370000000000000000e+02
1.999716586408943897e+01,6.540382952416807782e-01,6.600481894122016691e-01,1.450000000000000000e+02
